id,name,total_calories,protein_g,carbohydrate_g,fat_g,saturated_fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,servings,meal_type,ingredients_json,nutrition_tags_json
91881,虾仁雷莫拉酱,648.5,95.4,20.9,18.9,3,3.4,5.6,1283.8,698.9,1,breakfast,"[{""amount"":0.25,""name"":""蛋黄酱"",""unit"":""""},{""amount"":1,""name"":""葱"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""新鲜欧芹"",""unit"":""""},{""amount"":2,""name"":""克里奥尔芥末"",""unit"":""""},{""amount"":2,""name"":""第戎芥末酱"",""unit"":""""},{""amount"":2,""name"":""柠檬汁"",""unit"":""""},{""amount"":1,""name"":""虾"",""unit"":""""}]","[""蔬菜"",""高蛋白"",""健康"",""高含量..."",""早午餐"",""少于30分钟"",""午餐/零食""]"
106879,虾糜,884,100.7,33.5,38.9,15.6,1.1,3.4,1729.1,422.2,1,breakfast,"[{""amount"":1.5,""name"":""虾"",""unit"":""""},{""amount"":1,""name"":""奶油奶酪"",""unit"":""""},{""amount"":6,""name"":""蛋黄酱"",""unit"":""""},{""amount"":0.5,""name"":""洋葱"",""unit"":""""},{""amount"":0.25,""name"":""芹菜"",""unit"":""""},{""amount"":0.25,""name"":""无味明胶"",""unit"":""""},{""amount"":2,""name"":""柠檬汁"",""unit"":""""}]","[""高含量..."",""早午餐"",""少于30分钟"",""简单"",""高蛋白""]"
323884,K&B香肠基础混合料,775,98.9,1.9,38.4,14.1,0.3,0.7,1371.7,330,1,breakfast,"[{""amount"":1.5,""name"":""瘦牛肉末"",""unit"":""""},{""amount"":2.25,""name"":""鸡肉末"",""unit"":""""},{""amount"":0.75,""name"":""猪肉末"",""unit"":""""},{""amount"":1,""name"":""水"",""unit"":""""},{""amount"":3,""name"":""蒜瓣"",""unit"":""""},{""amount"":2,""name"":""新鲜粗磨黑胡椒"",""unit"":""""},{""amount"":1,""name"":""盐"",""unit"":""""},{""amount"":2,""name"":""奶粉"",""unit"":""""},{""amount"":1,""name"":""鼠尾草"",""unit"":""""},{""amount"":1,""name"":""迷迭香"",""unit"":""""},{""amount"":1,""name"":""墨角兰"",""unit"":""""}]","[""猪肉"",""肉"",""少于60分钟"",""冷冻室"",""早餐""]"
337575,纯素通心粉配酵母,847.7,70,140.1,8.3,1.2,33.9,2,77.7,0,1,breakfast,"[{""amount"":16,""name"":""纯素蛋黄酱"",""unit"":""""},{""amount"":16,""name"":""营养酵母"",""unit"":""""},{""amount"":3,""name"":""植物奶替代品"",""unit"":""""}]","[""无乳糖"",""无蛋"",""不含..."",""咸味"",""早午餐"",""少于60分钟"",""一餐即食""]"
299482,辣金枪鱼沙拉,647.4,85.5,31.6,20.1,4.8,7.4,18.9,2146.8,131.1,2,breakfast,"[{""amount"":1,""name"":""金枪鱼"",""unit"":""""},{""amount"":1,""name"":""蛋黄酱"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""洋葱粉"",""unit"":""""},{""amount"":0.5,""name"":""洋葱"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""刺山柑"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""盐"",""unit"":""""},{""amount"":3,""name"":""辣根"",""unit"":""""},{""amount"":0.5,""name"":""白糖"",""unit"":""""},{""amount"":0.25,""name"":""番茄膏"",""unit"":""""}]","[""金枪鱼"",""早午餐"",""少于15分钟"",""免煮"",""简单"",""午餐/零食""]"
119769,烟熏三文鱼菠菜酿鸡胸,567,83.8,27.4,12,3.2,5.6,2.3,1058,384.1,2,breakfast,"[{""amount"":2,""name"":""去骨去皮鸡胸肉"",""unit"":""""},{""amount"":0.5,""name"":""新鲜菠菜"",""unit"":""""},{""amount"":0.5,""name"":""烟熏三文鱼"",""unit"":""""},{""amount"":0.25,""name"":""罗勒青酱"",""unit"":""""},{""amount"":0.25,""name"":""黑胡椒"",""unit"":""""},{""amount"":1,""name"":""鸡蛋"",""unit"":""""}]","[""鸡胸肉"",""鸡肉"",""禽肉"",""肉"",""早午餐"",""少于60分钟"",""午餐/零食""]"
460718,卡茨的切肝,943.9,92.6,17.9,53.3,13,0.6,1.7,345.8,1422.9,1,breakfast,"[{""amount"":1,""name"":""牛肝"",""unit"":""""},{""amount"":1,""name"":""鸡肝"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""菜籽油"",""unit"":""""},{""amount"":1,""name"":""黄洋葱"",""unit"":""""},{""amount"":6,""name"":""鸡脂肪"",""unit"":""""},{""amount"":2,""name"":""熟鸡蛋"",""unit"":""""},{""amount"":0,""name"":""犹太盐"",""unit"":""""},{""amount"":0,""name"":""黑胡椒粉"",""unit"":""""}]","[""鸡肝"",""鸡肉"",""牛肝"",""禽肉"",""肉"",""西南亚（中东）"",""高蛋白"",""犹太洁食"",""高含量..."",""早午餐"",""烤/炙烤"",""少于60分钟"",""烤箱"",""小型电器"",""便宜"",""自制"",""涂抹酱""]"
133195,芝麻脆皮鸡,569,86,30.4,9.1,2.2,1.3,7.1,1516.7,303.2,1,breakfast,"[{""amount"":3,""name"":""去骨去皮鸡胸肉"",""unit"":""""},{""amount"":4,""name"":""去骨去皮鸡腿肉"",""unit"":""""},{""amount"":8,""name"":""面粉"",""unit"":""""},{""amount"":2,""name"":""玉米淀粉"",""unit"":""""},{""amount"":5,""name"":""白糖"",""unit"":""""},{""amount"":2,""name"":""酱油"",""unit"":""""},{""amount"":2,""name"":""鸡蛋"",""unit"":""""},{""amount"":2,""name"":""小葱"",""unit"":""""},{""amount"":2,""name"":""蒜瓣"",""unit"":""-5""},{""amount"":0,""name"":""白芝麻"",""unit"":""""}]","[""鸡肉"",""禽肉"",""肉"",""高蛋白"",""健康"",""高含量..."",""早午餐"",""少于60分钟"",""油炸"",""简单"",""午餐/零食""]"
512692,汉堡炒菜（原始人饮食法）,836.2,70.2,64,44,25,28.8,33.2,2357.6,262.5,2,breakfast,"[{""amount"":2,""name"":""汉堡"",""unit"":""""},{""amount"":2,""name"":""甜椒"",""unit"":""""},{""amount"":1,""name"":""酱油"",""unit"":""""},{""amount"":2,""name"":""辣椒粉"",""unit"":""""},{""amount"":1,""name"":""椰子油"",""unit"":""""},{""amount"":3,""name"":""小白菜"",""unit"":""""},{""amount"":6,""name"":""姜"",""unit"":""""},{""amount"":1,""name"":""盐"",""unit"":""""},{""amount"":2,""name"":""鸡蛋"",""unit"":""""}]","[""午餐/零食"",""肉"",""加拿大"",""极低碳水化合物"",""低蛋白"",""低胆固醇"",""适合儿童"",""工作日夜晚"",""早午餐"",""少于60分钟"",""新手厨师"",""简单"",""自制"",""一餐即食""]"
275570,消防站青椒猪肉炖,668.8,81.5,21.3,28.3,6,4.9,8.7,586.3,234.7,4,breakfast,"[{""amount"":3,""name"":""阿纳海姆辣椒"",""unit"":""""},{""amount"":10,""name"":""黄洋葱"",""unit"":""""},{""amount"":2,""name"":""蒜瓣"",""unit"":""""},{""amount"":2,""name"":""鸡汤"",""unit"":""""},{""amount"":1,""name"":""面粉"",""unit"":""""},{""amount"":3,""name"":""孜然"",""unit"":""""},{""amount"":1,""name"":""橄榄油"",""unit"":""""}]","[""肉"",""墨西哥"",""南美洲"",""极低碳水化合物"",""早午餐"",""炉灶顶"",""猪肉""]"
369144,迪恩·拉姆齐风味鹿肉炖菜,927.8,75.7,100.2,26.8,4.5,16,19.5,1826.1,47.6,6,breakfast,"[{""amount"":3.5,""name"":""洋葱"",""unit"":""""},{""amount"":1,""name"":""胡萝卜"",""unit"":""""},{""amount"":5,""name"":""冷冻利马豆"",""unit"":""""},{""amount"":1,""name"":""土豆"",""unit"":""""},{""amount"":1,""name"":""弯管通心粉"",""unit"":""""},{""amount"":3,""name"":""蘑菇"",""unit"":""-4""},{""amount"":1,""name"":""炖番茄"",""unit"":""""},{""amount"":3,""name"":""水"",""unit"":""""},{""amount"":4,""name"":""大蒜粉"",""unit"":""""},{""amount"":1,""name"":""干迷迭香"",""unit"":""""},{""amount"":1,""name"":""月桂叶"",""unit"":""""},{""amount"":2,""name"":""盐"",""unit"":""""},{""amount"":1,""name"":""胡椒"",""unit"":""""},{""amount"":1,""name"":""面粉"",""unit"":""""},{""amount"":2,""name"":""特级初榨橄榄油"",""unit"":""""}]","[""一餐即食"",""鹿肉"",""麋鹿"",""驼鹿"",""野味"",""肉"",""早午餐"",""少于4小时"",""炖""]"
172118,酥脆面包糠炸虾,696.1,83,47.4,16.9,3.5,1.4,5.3,887.9,638.6,1,breakfast,"[{""amount"":2,""name"":""面粉"",""unit"":""""},{""amount"":27,""name"":""黑胡椒"",""unit"":""""},{""amount"":0.5,""name"":""调味盐"",""unit"":""""},{""amount"":0.25,""name"":""白脱牛奶"",""unit"":""""},{""amount"":1.5,""name"":""塔巴斯科辣椒酱"",""unit"":""""},{""amount"":0.5,""name"":""鸡蛋"",""unit"":""""},{""amount"":2,""name"":""黑胡椒"",""unit"":""-3""}]","[""少于30分钟"",""油炸"",""简单"",""早午餐""]"
370611,马德拉烤小牛肉配金枪鱼酱,703.6,84.9,6.8,35.3,13.9,0.5,1.8,1272.5,344.1,4,breakfast,"[{""amount"":1.5,""name"":""柠檬汁"",""unit"":""""},{""amount"":3,""name"":""水"",""unit"":""""},{""amount"":1,""name"":""鳀鱼酱"",""unit"":""""},{""amount"":1,""name"":""盐"",""unit"":""""},{""amount"":1,""name"":""胡椒"",""unit"":""""},{""amount"":0.5,""name"":""月桂叶"",""unit"":""""},{""amount"":2,""name"":""洋葱"",""unit"":""""},{""amount"":0.5,""name"":""蒜瓣"",""unit"":""""},{""amount"":2,""name"":""金枪鱼"",""unit"":""""},{""amount"":170,""name"":""鳀鱼"",""unit"":""""},{""amount"":1,""name"":""刺山柑"",""unit"":""""},{""amount"":1,""name"":""柠檬汁"",""unit"":""""},{""amount"":2,""name"":""蛋黄酱"",""unit"":""""},{""amount"":3,""name"":""柠檬片"",""unit"":""""},{""amount"":3,""name"":""欧芹"",""unit"":""""}]","[""小牛肉"",""肉"",""葡萄牙语"",""欧洲"",""早午餐"",""金枪鱼""]"
305514,巴西鸡肉小吃（炸鸡腿球）,934.9,83.8,60.9,37.4,20.6,2.5,2.6,646.4,401,1,breakfast,"[{""amount"":1.5,""name"":""鸡排"",""unit"":""""},{""amount"":1,""name"":""水"",""unit"":""-2""},{""amount"":1,""name"":""洋葱"",""unit"":""""},{""amount"":2,""name"":""蒜瓣"",""unit"":""""},{""amount"":1,""name"":""牛奶"",""unit"":""""},{""amount"":1,""name"":""黄油"",""unit"":""""},{""amount"":2.5,""name"":""辣椒酱"",""unit"":""""},{""amount"":0.5,""name"":""莎莎酱"",""unit"":""""}]","[""禽肉"",""肉"",""巴西的"",""南美洲"",""适合儿童"",""早午餐"",""少于60分钟"",""午餐/零食""]"
56492,松子黄油鳕鱼,852,85.1,3.5,54.9,26.9,0.7,1,535.8,305.3,2,breakfast,"[{""amount"":3.5,""name"":""黄油"",""unit"":""""},{""amount"":2,""name"":""柠檬汁"",""unit"":""""},{""amount"":4,""name"":""松子"",""unit"":""""},{""amount"":4,""name"":""鳕鱼片"",""unit"":""""},{""amount"":0,""name"":""绿叶菜"",""unit"":""""},{""amount"":0,""name"":""柠檬角"",""unit"":""""}]","[""绿叶蔬菜"",""水果"",""蔬菜"",""坚果"",""希腊"",""澳大利亚"",""欧洲"",""极低碳水化合物"",""春季"",""夏季"",""圣帕特里克节"",""早午餐"",""少于15分钟"",""新手厨师"",""炉灶顶"",""简单"",""一餐即食""]"
86016,椒盐脆皮牛排,895.9,84.6,1.1,59.1,20.1,0.4,0.4,345.8,272,1,breakfast,"[{""amount"":4,""name"":""芥末酱"",""unit"":""-5""},{""amount"":0.3333333333333333,""name"":""粗盐"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""黑胡椒粒"",""unit"":""""}]","[""肉"",""早午餐"",""少于60分钟"",""简单"",""牛排""]"
246182,火腿瑞士干酪卷,934.8,83.6,9.6,61,25.9,2.3,4.6,1110.7,474.2,1,breakfast,"[{""amount"":1,""name"":""芥末"",""unit"":""""},{""amount"":2,""name"":""熟火腿"",""unit"":""""},{""amount"":0.5,""name"":""瑞士奶酪"",""unit"":""""},{""amount"":0.5,""name"":""甜椒丁"",""unit"":""""},{""amount"":0.25,""name"":""莳萝腌黄瓜"",""unit"":""""},{""amount"":0.25,""name"":""鸡蛋"",""unit"":""""}]","[""早午餐"",""少于4小时"",""简单"",""一餐即食""]"
189991,三文鱼配扁豆,700.4,63.8,58.3,23.3,3.6,21,11.3,1288.7,119.4,4,breakfast,"[{""amount"":0.5,""name"":""绿扁豆"",""unit"":""""},{""amount"":0.25,""name"":""橄榄油"",""unit"":""""},{""amount"":2,""name"":""黄洋葱"",""unit"":""""},{""amount"":2,""name"":""韭葱"",""unit"":""""},{""amount"":1,""name"":""新鲜百里香叶"",""unit"":""""},{""amount"":2,""name"":""犹太盐"",""unit"":""""},{""amount"":0.75,""name"":""现磨黑胡椒"",""unit"":""""},{""amount"":1,""name"":""鲜蒜"",""unit"":""""},{""amount"":1.5,""name"":""芹菜"",""unit"":""""},{""amount"":1.5,""name"":""胡萝卜"",""unit"":""""},{""amount"":1.5,""name"":""番茄膏"",""unit"":""""},{""amount"":2,""name"":""红酒醋"",""unit"":""""},{""amount"":2,""name"":""三文鱼柳"",""unit"":""""}]","[""午餐/零食"",""扁豆"",""豆类"",""蔬菜"",""早午餐"",""少于60分钟"",""一餐即食""]"
98944,汉堡香肠,990.3,85.1,2.3,68.6,26.6,0.7,0.5,300.3,308.4,1,breakfast,"[{""amount"":5,""name"":""碎牛肉"",""unit"":""""},{""amount"":5,""name"":""黑胡椒粉"",""unit"":""""},{""amount"":2.5,""name"":""大蒜粉"",""unit"":""""},{""amount"":2.5,""name"":""芥菜籽"",""unit"":""""},{""amount"":2.5,""name"":""烟熏液"",""unit"":""""}]","[""肉"",""早午餐"",""午餐/零食""]"
112827,绿扁豆泥,706.3,42.8,101.2,15.8,2.2,47.8,6.4,1190.7,0,1,breakfast,"[{""amount"":0.75,""name"":""干绿小扁豆"",""unit"":""""},{""amount"":2,""name"":""干棕扁豆"",""unit"":""""},{""amount"":0.5,""name"":""水"",""unit"":""""},{""amount"":1,""name"":""洋葱"",""unit"":""""},{""amount"":1,""name"":""蒜瓣"",""unit"":""""},{""amount"":1,""name"":""橄榄油"",""unit"":""""},{""amount"":3,""name"":""干酵母"",""unit"":""""},{""amount"":0.5,""name"":""生抽"",""unit"":""""},{""amount"":1,""name"":""盐"",""unit"":""""},{""amount"":0.125,""name"":""禽肉调味料"",""unit"":""""},{""amount"":1,""name"":""多香果"",""unit"":""""},{""amount"":1,""name"":""鼠尾草"",""unit"":""""},{""amount"":0,""name"":""孜然"",""unit"":""""},{""amount"":0,""name"":""莳萝"",""unit"":""""}]","[""扁豆"",""豆类"",""欧洲"",""低胆固醇"",""健康"",""早午餐"",""少于60分钟"",""便宜"",""午餐/零食""]"
222602,菊苣核桃山羊奶酪酿,450,27.3,80,10.5,1.6,64.4,15,452.2,0,1,breakfast,"[{""amount"":0.3333333333333333,""name"":""核桃"",""unit"":""""},{""amount"":2,""name"":""蜂蜜"",""unit"":""""},{""amount"":0.25,""name"":""比利时菊苣"",""unit"":""""},{""amount"":3,""name"":""新鲜细香葱"",""unit"":""""},{""amount"":16,""name"":""粗黑胡椒碎"",""unit"":""""}]","[""不含..."",""春季"",""夏季"",""早午餐"",""少于30分钟"",""无蛋""]"
99158,自制鸡肉饺子汤,903.6,76.4,76.7,31.4,14.6,7.7,9.7,2226.8,237.6,4,breakfast,"[{""amount"":3,""name"":""鸡大腿"",""unit"":""""},{""amount"":4,""name"":""胡萝卜"",""unit"":""""},{""amount"":5,""name"":""芹菜"",""unit"":""""},{""amount"":1,""name"":""黄甜洋葱"",""unit"":""""},{""amount"":1,""name"":""大蒜"",""unit"":""""},{""amount"":16,""name"":""水"",""unit"":""""},{""amount"":2,""name"":""黑胡椒"",""unit"":""""},{""amount"":1,""name"":""肉桂棒"",""unit"":""""},{""amount"":2,""name"":""黄油"",""unit"":""""},{""amount"":2,""name"":""鸡胸肉"",""unit"":""""},{""amount"":3,""name"":""胡萝卜"",""unit"":""""},{""amount"":2,""name"":""芹菜"",""unit"":""""},{""amount"":1,""name"":""洋葱"",""unit"":""""},{""amount"":2,""name"":""盐"",""unit"":""""},{""amount"":2,""name"":""通用面粉"",""unit"":""""},{""amount"":1,""name"":""泡打粉"",""unit"":""""},{""amount"":0.5,""name"":""盐"",""unit"":""""},{""amount"":3,""name"":""黄油"",""unit"":""""},{""amount"":1,""name"":""牛奶"",""unit"":""""}]","[""鸡肉"",""禽肉"",""蔬菜"",""肉"",""低胆固醇"",""无蛋"",""适合幼儿"",""健康"",""适合儿童"",""不含..."",""早午餐"",""炉灶顶"",""便宜"",""清汤""]"
240793,多莉·帕顿的香煎鲶鱼,736.2,78,15.6,38,8.8,1.5,0.1,267.2,230.7,6,breakfast,"[{""amount"":6.5,""name"":""鲶鱼片"",""unit"":""""},{""amount"":1,""name"":""起酥油"",""unit"":""""},{""amount"":0,""name"":""白玉米面"",""unit"":""""},{""amount"":0,""name"":""柠檬角"",""unit"":""""}]","[""鲶鱼"",""极低碳水化合物"",""适合儿童"",""早午餐"",""少于30分钟"",""简单"",""午餐/零食""]"
515186,鸡肉法士达,421.9,73.5,7.3,9.1,2,1.9,3.7,981.9,217.9,1,breakfast,"[{""amount"":3,""name"":""去骨去皮鸡胸肉"",""unit"":""""},{""amount"":1,""name"":""海盐"",""unit"":""""},{""amount"":1,""name"":""胡椒"",""unit"":""""},{""amount"":2,""name"":""是拉差辣椒酱"",""unit"":""""},{""amount"":1,""name"":""大蒜"",""unit"":""""},{""amount"":0.75,""name"":""樱桃番茄"",""unit"":""""},{""amount"":0.5,""name"":""新鲜香菜"",""unit"":""""},{""amount"":1,""name"":""红甜椒"",""unit"":""""},{""amount"":1,""name"":""洋葱"",""unit"":""""}]","[""蔬菜"",""肉"",""墨西哥"",""工作日夜晚"",""早午餐"",""少于4小时"",""简单"",""便宜"",""自制"",""午餐/零食""]"
149834,欧仁妮鸡,896.6,80.7,49.3,37.7,19.9,2.1,3.8,1365.3,299.3,1,breakfast,"[{""amount"":8,""name"":""去骨去皮鸡胸肉"",""unit"":""""},{""amount"":8,""name"":""瑞士奶酪"",""unit"":""""},{""amount"":8,""name"":""面粉"",""unit"":""""},{""amount"":1,""name"":""鸡蛋"",""unit"":""""},{""amount"":1,""name"":""水"",""unit"":""""},{""amount"":1,""name"":""白葡萄酒"",""unit"":""""},{""amount"":1,""name"":""黄油"",""unit"":""""},{""amount"":0.5,""name"":""伍斯特酱"",""unit"":""""},{""amount"":4,""name"":""牛肉高汤"",""unit"":""""}]","[""鸡肉"",""禽肉"",""肉"",""早午餐"",""新手厨师"",""少于4小时"",""简单"",""鸡胸肉""]"
177618,低碳西兰花鸡肉披萨,560.4,75.8,12.3,22.2,12.6,2.6,3.4,1113.8,163.8,6,breakfast,"[{""amount"":8,""name"":""脱脂奶油奶酪"",""unit"":""""},{""amount"":1,""name"":""鸡蛋替代品"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""低碳水牛奶"",""unit"":""""},{""amount"":2,""name"":""去骨去皮鸡胸肉"",""unit"":""""},{""amount"":1,""name"":""西兰花"",""unit"":""""},{""amount"":3,""name"":""部分脱脂马苏里拉奶酪"",""unit"":""""}]","[""鸡肉"",""禽肉"",""奶酪"",""蔬菜"",""肉"",""不含..."",""家常菜聚餐"",""早午餐"",""少于60分钟"",""鸡胸肉""]"
