id,name,met_value,category,description
CPA_01084,电动自行车（电力辅助）轻电子助力,6,aerobic,骑行——电动自行车（电力辅助），轻度电子助力
CPA_15080,台球,2.5,aerobic,运动——台球
CPA_15335,高空绳索课程，多项元素,4,aerobic,运动——高空绳索课程，多项元素
CPA_15200,击剑，一般,6,aerobic,运动——击剑，一般
CPA_18010,动力划船，驾驶,2.5,aerobic,水上活动——摩托艇，驾驶
CPA_15440,杂耍,4,aerobic,运动 — 杂耍
CPA_15403,马术，西部驭马术,6,aerobic,运动——骑马，西部驭马术
CPA_15180,飞镖，墙靶或草地靶,2.5,aerobic,运动——飞镖，墙面或草地
CPA_15470,越野摩托车，越野摩托车运动，全地形车，综合,4,aerobic,运动——摩托车越野、越野摩托车运动、全地形车、综合
CPA_12010,慢跑/步行组合（慢跑部分少于10分钟）（泰勒代码180）,6,aerobic,跑步——慢跑/步行结合（慢跑部分少于10分钟）（泰勒代码180）
CPA_19006,狗拉雪橇，乘客,2.5,aerobic,冬季活动——狗拉雪橇，乘客
CPA_18110,划船,4,aerobic,水上活动 — 脚踏船
CPA_19010,移动冰屋，设置/钻孔,6,aerobic,冬季活动——移动冰屋，打孔/钻孔
CPA_15235,橄榄球或棒球，玩接球,2.5,aerobic,运动——足球或棒球，玩接球游戏
CPA_15542,牛仔竞技运动，一般，轻度用力,4,aerobic,运动——牛仔竞技运动，一般，轻度用力
CPA_15500,板拍球，休闲，一般（泰勒代码460）,6,aerobic,运动——拍球，休闲，一般（泰勒代码460）
CPA_19260,扫雪机，步行并推动,2.5,aerobic,冬季活动——吹雪机，步行与推行
CPA_02344,坐站练习，18-24次/分钟,4,aerobic,体能训练——坐站练习，每分钟18-24次
CPA_15582,滑板，竞技性，高强度,6,aerobic,运动——滑板，竞技性，高强度
CPA_18367,水中行走，轻度用力，慢速,2.5,aerobic,水上活动——水中行走，轻度用力，慢速
CPA_15630,垒球，裁判工作,4,aerobic,运动——垒球，裁判工作
CPA_18150,滑水或尾波滑水（泰勒代码220）,6,aerobic,水上活动——滑水或尾波滑水（泰勒代码220）
CPA_18404,水中骑行，25瓦，40-50转/分,2.8,aerobic,水上活动——水中骑行，25瓦，40-50转/分钟
CPA_15625,垒球，练习,4,aerobic,运动——垒球，练习
CPA_02090,瘦身操，爵士健美操,6,aerobic,体能训练——瘦身操，爵士健身操
CPA_02117,臂式测功计，手摇车，25-30瓦,2.8,aerobic,体能训练——手臂测功计，手摇自行车，25-30瓦
CPA_15660,乒乓球（泰勒代码410）,4,aerobic,运动——乒乓球（泰勒代码410）
CPA_15640,垒球，投球,6,aerobic,运动——垒球，投球
CPA_18040,皮划艇，赛艇，2.0-3.9英里/小时，轻度用力,2.8,aerobic,水上活动——独木舟、划船，2.0-3.9英里/小时，轻度用力
CPA_15732,田径（如铅球、铁饼、链球）,4,aerobic,运动——田径（如铅球、铁饼、链球投掷）
CPA_18300,游泳，湖泊，海洋，河流（泰勒代码280，295）,6,aerobic,水上活动——游泳，湖泊、海洋、河流（泰勒代码280、295）
CPA_02340,坐站练习，6-12次/分钟,2.8,aerobic,体能训练——坐站练习，每分钟6-12次
CPA_15710,排球（泰勒代码400）,4,aerobic,运动——排球（泰勒代码400）
CPA_18310,休闲游泳，非泳道游泳，一般,6,aerobic,水上活动——游泳，休闲式，非泳道游泳，一般强度
CPA_18225,站立桨板，站立，10-19次/分钟,2.8,aerobic,水上活动——站立桨板，站立，10-19桨/分钟
CPA_15010,射箭（非狩猎）,4.3,aerobic,运动——射箭（非狩猎）
CPA_15674,太极拳，杨式,6,aerobic,运动——太极拳，杨式
CPA_02112,治疗性健身球，健身球运动,2.8,aerobic,体能训练——治疗性健身球，健身球运动
CPA_01015,自行车，自选轻松速度,4.3,aerobic,骑行——骑行，自选轻松速度
CPA_15680,网球，双打（泰勒代码430）,6,aerobic,运动——网球，双打（泰勒代码430）
CPA_02115,上半身运动，手臂测功计，一般，轻度,2.8,aerobic,体能训练——上肢运动，手臂测功计，一般，轻度
CPA_03072,当代舞蹈，夜总会,4.3,aerobic,舞蹈——现代舞，夜店舞
CPA_15733,田径（如跳高、跳远、三级跳远、标枪、撑竿跳高）,6,aerobic,运动——田径（如跳高、跳远、三级跳远、标枪、撑竿跳高）
CPA_17346,跑步机步行，1.2至1.9英里/小时，0%坡度（1.9至3.0公里/小时）,2.8,aerobic,步行——跑步机步行，速度1.2至1.9英里/小时，坡度0%（1.9至3.0公里/小时）
CPA_15265,高尔夫，步行，携带球杆,4.3,aerobic,运动——高尔夫，步行，携带球杆
CPA_15711,排球，竞技，体育馆内,6,aerobic,运动——排球，竞技性，体育馆内
CPA_03040,交谊舞，慢速，例如：华尔兹、狐步舞、慢舞、桑巴探戈、伦巴、19世纪舞蹈、曼波、恰恰,3,aerobic,舞蹈——交际舞，慢速，例如：华尔兹、狐步舞、慢舞、桑巴探戈、伦巴、19世纪舞蹈、曼波、恰恰
CPA_19150,高山滑雪或单板滑雪，轻度用力，仅计活动时间,4.3,aerobic,冬季活动——滑雪，高山速降、高山滑雪或单板滑雪，轻度用力，仅计活动时间
CPA_17320,倒退行走，3.5英里/小时，水平,6,aerobic,步行——倒退走，3.5英里/小时，平地
CPA_15090,保龄球（泰勒代码390）,3,aerobic,运动 — 保龄球（泰勒代码390）
CPA_02119,上半身运动，固定自行车 - Airdyne（仅手臂）40转/分，中等强度,4.3,aerobic,体能训练——上肢运动，固定自行车-风阻单车（仅手臂）40转/分钟，中等强度
CPA_15730,摔跤，竞技（一场比赛=5分钟）,6,aerobic,运动——摔跤，竞技性（一场比赛=5分钟）
CPA_18090,跳水，跳板或跳台,3,aerobic,水上活动——跳水，跳板或跳台
CPA_17018,搬运15-155磅（6.8-70.4公斤）重物（如行李箱、箱子、家具），平地或下楼，慢速,4.5,aerobic,步行——携带15-155磅（6.8-70.4公斤）负重（如行李箱、箱子、家具），平地或下楼梯，慢速
CPA_18428,水中骑行，100瓦，40-50转/分,6.3,aerobic,水上活动——水中骑行，100瓦，40-50转/分钟
CPA_15240,飞盘运动，一般,3,aerobic,运动——飞盘，一般性玩法
CPA_03025,民族或文化舞蹈（如希腊、中东、呼拉、萨尔萨、梅伦格、班巴与普莱纳、弗拉门戈、肚皮和摇摆舞）,4.5,aerobic,舞蹈——民族或文化舞蹈（如希腊舞、中东舞、草裙舞、萨尔萨舞、梅伦格舞、班巴与普莱纳舞、弗拉门戈舞、肚皮舞和摇摆舞）
CPA_18424,水中骑行，75瓦，60-70转/分,6.3,aerobic,水上活动——水中骑行，75瓦，60-70转/分钟
CPA_15410,马蹄铁投掷，套圈,3,aerobic,运动——掷马蹄铁、掷环
CPA_15255,高尔夫球，一般,4.5,aerobic,运动——高尔夫，一般
CPA_03011,芭蕾练习（普利耶、汤丢、热泰、龙德让布、丰迪、大巴特芒、大阿达日、索泰、唐勒韦）,6.3,aerobic,舞蹈——芭蕾练习（普利耶、唐丢、热泰、龙德让布、丰迪、大巴特芒、大阿达日、索泰、唐勒韦）
CPA_18120,帆船、帆板、风帆冲浪、冰上帆船，一般（泰勒代码235）,3,aerobic,水上活动——帆船、船帆与板帆、风帆冲浪、冰上帆船，一般（泰勒代码235）
CPA_15285,高尔夫，步行，拖拽球杆,4.5,aerobic,运动——高尔夫，步行，拖拽球杆
CPA_15562,触式橄榄球，非竞技性,6.3,aerobic,运动——触式橄榄球，非竞技性
CPA_15570,沙狐球,3,aerobic,运动 — 沙狐球
CPA_15380,马匹梳理、维护、备鞍任务,4.5,aerobic,运动——马匹梳理、维护、备鞍任务
CPA_03091,萨尔萨舞（跟随视频）,6.3,aerobic,舞蹈——萨尔萨舞，跟随视频进行
CPA_18220,冲浪，身体或板式，一般,3,aerobic,水上活动——冲浪，身体或冲浪板，一般
CPA_03078,爵士舞，一般,4.5,aerobic,舞蹈——爵士舞，一般
CPA_19160,高山滑雪或单板滑雪，中等强度，一般，仅活动时间,6.3,aerobic,冬季活动——滑雪，高山速降、高山滑雪或单板滑雪，中等强度，一般，仅计活动时间
CPA_15720,排球，非竞技性，6-9人队伍，一般,3,aerobic,运动——排球，非竞技性，6至9人队伍，一般强度
CPA_12027,迷你蹦床慢跑,4.5,aerobic,跑步——在迷你蹦床上慢跑
CPA_15700,休闲蹦床,6.3,aerobic,运动——蹦床，休闲娱乐
CPA_17349,跑步机步行，2.0至2.4英里/小时（3.2至3.9公里/小时），0%坡度,3,aerobic,步行——跑步机步行，速度2.0至2.4英里/小时（3.2至3.9公里/小时），坡度0%
CPA_02108,钢管舞，健身课,4.5,aerobic,体能训练——钢管舞，健身课程
CPA_17019,搬运50至150磅重物（如马匹或牛饲料、围栏管、家具），平地，中等速度,6.5,aerobic,步行——背负50至150磅重物（如马匹或牛饲料、围栏管道、家具），平地，中等速度
CPA_02300,弹力绳训练，生命线,3,aerobic,体能训练——棍操，Life-Build-Line
CPA_18130,竞技帆船，通用,4.5,aerobic,水上活动——帆船，比赛，通用
CPA_17045,爬坡，负重10至20磅，坡度5%至10%，中等强度,6.5,aerobic,步行——爬坡，负重10至20磅，坡度5%至10%，中等强度
CPA_18365,水排球,3,aerobic,水上活动——水上排球
CPA_15685,网球，双打,4.5,aerobic,运动——网球，双打
CPA_15444,剑道，基本稽古式，中等强度,6.5,aerobic,运动——剑道，基本稽古风格，中等强度
CPA_18025,独木舟划行，采收野生稻，拍打稻穗脱粒,3.3,aerobic,水上活动——划独木舟、采收野生稻、将稻谷从稻秆上敲落
CPA_02005,低冲击有氧舞蹈，中等强度,4.8,aerobic,体能训练——低冲击有氧舞蹈，中等强度
CPA_15506,普鲁士结攀爬,6.5,aerobic,运动——普鲁西克攀登
CPA_15160,槌球,3.3,aerobic,运动 — 槌球
CPA_18408,水中骑行，25瓦，60-70转/分,4.8,aerobic,水上活动——水中骑行，25瓦，60-70转/分钟
CPA_12028,跑步，时速4至4.2英里（每英里13分钟）,6.5,aerobic,跑步——跑步，时速4至4.2英里（每英里13分钟）
CPA_12026,慢跑 2.6至3.7英里/小时,3.3,aerobic,跑步——慢跑，时速2.6至3.7英里
CPA_15150,板球，击球，投球，守场,4.8,aerobic,运动——板球：击球、投球、守场
CPA_12408,跑步/慢跑，弧形跑步机，4.0至4.9英里/小时,6.5,aerobic,跑步/慢跑，弧形跑步机，4.0至4.9英里/小时
CPA_15465,草地保龄球，地掷球，户外,3.3,aerobic,运动——草地滚球、地掷球、室外
CPA_12025,原地慢跑,4.8,aerobic,跑步——原地慢跑
CPA_18224,站立式桨板冲浪，一般,6.5,aerobic,水上活动——站立式桨板，一般
CPA_18140,帆船，太阳鱼/激光/ hobby猫，龙骨船，远洋航行，游艇，休闲,3.3,aerobic,水上活动——帆船、单人小帆船/激光级/双体帆船、龙骨船、远洋航行、游艇、休闲
CPA_03090,萨尔萨舞（双人）,4.8,aerobic,舞蹈——萨尔萨舞，与舞伴一起
CPA_18374,水中跑步，30步/分钟，慢速,6.5,aerobic,水上活动——水中跑步，30步/分钟，慢速
CPA_15645,体育观众，非常兴奋，情绪激动，身体动作,3.3,aerobic,运动——体育观众，极度兴奋，情绪激动，身体随之移动
CPA_18255,休闲仰泳,4.8,aerobic,水上活动——游泳，仰泳，休闲
CPA_02310,尊巴，团体课,6.5,aerobic,体能训练——尊巴，团体课
CPA_15670,太极，气功，综合,3.3,aerobic,运动——太极、气功，一般
CPA_03014,拍击,4.8,aerobic,舞蹈——踢踏舞
CPA_03012,芭蕾舞、现代舞或爵士舞，表演，高强度,6.8,aerobic,舞蹈——芭蕾、现代舞或爵士舞，表演，高强度
CPA_17382,跑步机下坡行走（坡度-3%至-12%），时速2.8至3.1英里,3.3,aerobic,步行——跑步机下坡行走（坡度-3%至-12%），速度2.8至3.1英里/小时
CPA_17434,跑步机行走，2.5英里/小时，0%坡度，5至20摄氏度，40磅（18.2公斤）负重,4.8,aerobic,步行——步行，跑步机，2.5英里/小时，0%坡度，5至20摄氏度，40磅（18.2公斤）负重
CPA_01020,自行车骑行，10-11.9英里/小时，休闲，慢速，轻度用力,6.8,aerobic,骑行——骑行，时速10-11.9英里，休闲，慢速，轻度用力
CPA_17412,跑步机下坡行走（坡度-5%至-25%），2.8英里/小时，使用北欧手杖,3.3,aerobic,步行——跑步机下坡步行（坡度-5%至-25%），速度2.8英里/小时，使用北欧手杖
CPA_17358,跑步机步行，3.5至3.9英里/小时（5.6至6.3公里/小时），0%坡度,4.8,aerobic,步行——跑步机步行，速度3.5至3.9英里/小时（5.6至6.3公里/小时），坡度0%
CPA_01224,固定式自行车，101-125瓦,6.8,aerobic,骑行——固定式自行车，101-125瓦
CPA_02118,臂式测功计，手摇车，45W,3.5,aerobic,体能训练——手臂测功计，手摇自行车，45瓦
CPA_18368,水中行走，中等强度，中等速度,4.8,aerobic,水上活动——水中行走，中等强度，中等速度
CPA_01200,固定式自行车，一般,6.8,aerobic,骑行——固定式骑行，一般强度
CPA_01018,休闲骑行，时速5.5英里,3.5,aerobic,骑自行车——休闲骑行，时速5.5英里
CPA_18420,水中骑行，75瓦，40-50转/分,5,aerobic,水上活动——水中骑行，75瓦，40-50转/分钟
CPA_01011,骑自行车上下班，自选速度,6.8,aerobic,骑自行车——骑自行车上下班，自选速度
CPA_01210,固定式自行车，25-30瓦，极轻到轻度用力,3.5,aerobic,骑行——固定自行车，25-30瓦，非常轻松到轻松用力
CPA_02008,军队型障碍训练，新兵营训练项目,5,aerobic,体能训练——军队式障碍训练，新兵训练营项目
CPA_01080,电动自行车（无电子助力）,6.8,aerobic,骑行 — 电动自行车（电力辅助）无电子助力
CPA_18070,划独木舟、划船，休闲娱乐，一般（泰勒代码250）,3.5,aerobic,水上活动——划独木舟、划船，休闲娱乐，一般强度（泰勒代码250）
CPA_03010,芭蕾、现代舞或爵士舞综合，排练或课程,5,aerobic,舞蹈——芭蕾、现代舞或爵士舞，一般排练或课程
CPA_02205,新西兰本地人体育活动，一般，高强度,6.8,aerobic,体能训练——新西兰本土体力活动，一般，高强度
CPA_02024,轻量徒手体操（如卷腹、仰卧起坐、平板支撑）,2.8,strength,体能训练——徒手体操（如卷腹、仰卧起坐、平板支撑），轻度用力
CPA_02143,视频、锻炼训练、电视健身节目（如心肺抗阻训练），中等强度,4,strength,体能训练运动——视频、运动锻炼、电视体能训练节目（如心肺抗阻训练），中等强度
CPA_02050,抗阻训练（举重——自由重量、鹦鹉螺或通用型器械）、力量举或健美，高强度用力（泰勒代码210）,6,strength,体能训练——抗阻训练（举重——自由重量、鹦鹉螺或通用型器械）、力量举或健美，高强度（泰勒代码210）
CPA_02056,自重抗阻训练（如深蹲、弓步、俯卧撑、卷腹），一般性,3,strength,体能训练——自重抗阻练习（如深蹲、弓步、俯卧撑、卷腹），一般性
CPA_02061,健身俱乐部综合课程，健身房/负重训练合并一次,5,strength,体能训练——健康俱乐部综合健身课程，一次到访包含一般健身操与健身房/力量训练
CPA_02145,视频、锻炼训练、电视健身节目（如心肺抗阻训练），高强度,6,strength,体能训练——视频、锻炼课程、电视体能训练节目（如心肺抗阻训练），高强度
CPA_02030,健美操，轻度或中度努力，一般性（如背部练习），上下地板（泰勒代码150）,3.5,strength,体能训练——徒手体操，轻度或中度用力，一般性（如背部练习），从地面起立与下蹲（泰勒代码150）
CPA_02052,抗阻（负重）训练、深蹲、硬拉、慢速或爆发性发力,5,strength,体能训练——抗阻（负重）训练，深蹲、硬拉，慢速或爆发性发力
CPA_02057,自重抗阻训练（如深蹲、弓步、俯卧撑、卷腹），高强度,6.5,strength,体能训练——自重抗阻练习（如深蹲、弓步、俯卧撑、卷腹），高强度
CPA_02054,抗阻（负重）训练，多种动作，8-15次，不同阻力,3.5,strength,体能训练——抗阻（负重）训练，多种动作，8-15次，不同阻力。
CPA_02120,水中健美操，水中体操，水中运动,5.3,strength,体能训练——水中健美操、水中体操、水中运动
CPA_02020,自重训练（如俯卧撑、仰卧起坐、引体向上、开合跳、波比跳、战绳），高强度,7.5,strength,体能训练——徒手体操（如俯卧撑、仰卧起坐、引体向上、开合跳、波比跳、战绳），高强度用力
CPA_02022,健美操（如俯卧撑、仰卧起坐、引体向上、弓步），中等强度,3.8,strength,体能训练——徒手体操（如俯卧撑、仰卧起坐、引体向上、弓步蹲），中等强度
CPA_02055,抗阻训练，循环式，交替超级组，外周心脏动作训练,5.8,strength,体能训练——抗阻训练，循环式，交替超级组，周边心脏动作训练
CPA_02214,高强度间歇训练，波比跳，登山跑，深蹲跳，Tabata，高强度,11,strength,体能训练——高强度间歇训练，波比跳、登山跑、深蹲跳、Tabata训练，高强度
CPA_02170,瑜伽，经络呼吸法,2,flexibility,调理运动——瑜伽，经络呼吸法
CPA_02160,力量瑜伽,4,flexibility,体能训练——瑜伽，力量型
CPA_02153,哈他瑜伽，高强度,8,flexibility,体能训练——瑜伽，哈他，高强度
CPA_02101,轻度拉伸,2.3,flexibility,体能训练——拉伸，轻度
CPA_02107,Pound（结合普拉提与身体动作的击鼓运动）,8.5,flexibility,体能训练——击打式锻炼，结合普拉提与身体动作的鼓点训练
CPA_02175,瑜伽，一般,2.3,flexibility,体能训练——瑜伽，通用
CPA_02150,哈他瑜伽,2.3,flexibility,体能训练——瑜伽，哈他
CPA_02140,视频、锻炼训练、电视健身节目（如瑜伽、拉伸、坐姿），轻度用力,2.5,flexibility,体能训练运动——视频、锻炼操、电视体能训练节目（如瑜伽、拉伸、坐姿训练），轻度用力
CPA_02185,流瑜伽,2.7,flexibility,体能训练——瑜伽，流瑜伽
CPA_02105,普拉提，一般,2.8,flexibility,体能训练——普拉提，一般
CPA_02155,热瑜伽,3,flexibility,体能训练——瑜伽，高温
CPA_02180,瑜伽，拜日式,3.5,flexibility,体能训练——瑜伽，拜日式
CPA_02225,平衡运动辅助机器人（BEAR）、模拟滑雪、网球、骑牛,2.3,balance,体能训练——平衡训练辅助机器人（BEAR），模拟滑雪、网球、骑牛
